date,country,marketing_channel,signups,kyc_init,kyc_complete,card_activation,first_transaction
1/23/17,ESP,brand influencer,93,76,60,45,36
1/23/17,BEL,app store,100,74,52,43,38
1/23/17,FRA,brand influencer,98,74,53,50,31
1/23/17,BEL,affiliate,91,78,59,42,34
1/23/17,DEU,paid social,93,78,53,41,36
1/23/17,DEU,direct,98,76,50,49,38
1/23/17,ITA,brand influencer,92,71,52,41,35
1/23/17,ITA,brand influencer,99,75,53,44,37
1/23/17,PRT,organic search,94,76,57,40,38
1/23/17,EST,other organic,94,74,51,48,30
1/23/17,PRT,app store,90,74,56,47,32
1/23/17,ITA,organic search,90,71,55,47,37
1/23/17,PRT,app store,92,76,59,48,33
1/23/17,GRC,other organic,100,80,57,47,39
1/23/17,GRC,direct,100,77,60,41,38
1/23/17,PRT,paid search,98,76,52,49,36
1/23/17,SVK,organic search,96,78,58,49,31
1/24/17,FRA,other organic,97,79,59,42,30
1/24/17,ESP,paid social,90,78,55,46,31
1/24/17,SVK,partnership,94,73,59,43,36
1/24/17,ITA,paid social,94,72,59,43,32
1/24/17,ITA,paid search,93,71,51,41,30
1/24/17,ITA,friend referral,90,77,50,48,34
1/24/17,ESP,display,94,77,50,41,30
1/24/17,PRT,paid social,96,77,56,40,32
1/24/17,FRA,app store,99,76,58,40,31
1/24/17,BEL,paid search,91,76,58,44,37
1/24/17,ITA,other organic,93,72,55,50,36
1/24/17,FRA,affiliate,96,71,50,41,40
1/24/17,PRT,app store,96,70,51,45,38
1/24/17,FRA,app store,99,78,54,47,37
1/24/17,ESP,app store,92,75,51,47,39
1/24/17,GRC,friend referral,94,80,52,44,39
1/24/17,PRT,paid social,100,74,54,42,33
1/24/17,PRT,other organic,94,71,51,50,34
1/25/17,ESP,other organic,93,71,57,50,40
1/25/17,PRT,organic search,95,78,52,49,31
1/25/17,SVK,display,95,77,50,49,35
1/25/17,NOR,organic search,100,77,54,46,40
1/25/17,ESP,other organic,93,74,56,43,36
1/25/17,FRA,paid search,93,75,53,48,34
1/25/17,EST,friend referral,91,70,59,44,34
1/25/17,DEU,direct,98,71,59,47,38
1/25/17,IRL,paid social,92,70,52,42,30
1/25/17,FRA,display,97,70,57,43,37
1/25/17,ITA,app store,91,80,52,40,40
1/25/17,GRC,other organic,99,72,59,46,31
1/25/17,PRT,paid search,97,80,56,42,39
1/26/17,NOR,display,98,74,59,48,31
1/26/17,PRT,affiliate,95,77,50,44,31
1/26/17,IRL,paid social,93,70,56,47,35
1/26/17,IRL,app store,91,77,53,50,37
1/26/17,PRT,affiliate,94,79,51,50,31
1/26/17,BEL,friend referral,93,70,60,48,32
1/26/17,ESP,affiliate,92,72,51,45,37
1/26/17,IRL,other organic,93,71,55,43,38
1/26/17,FRA,direct,91,72,58,47,33
1/26/17,PRT,other organic,97,75,55,45,37
1/26/17,DEU,direct,91,79,56,44,39
1/26/17,EST,paid search,98,79,50,41,33
1/26/17,ITA,other organic,90,73,58,41,35
1/26/17,DEU,direct,99,74,53,47,40
1/26/17,PRT,organic search,92,78,52,49,30
1/26/17,ITA,app store,100,76,59,47,35
1/26/17,BEL,friend referral,94,73,51,49,37
1/26/17,DEU,organic search,94,76,56,47,40
1/26/17,EST,other organic,98,72,57,44,40
1/26/17,BEL,direct,95,71,51,47,30
1/27/17,ESP,app store,90,70,60,43,35
1/27/17,NOR,display,93,70,57,46,36
1/27/17,PRT,display,98,78,57,50,40
1/27/17,POL,organic search,96,73,50,49,35
1/27/17,NOR,paid social,93,78,57,46,37
1/27/17,FRA,affiliate,96,74,55,43,34
1/27/17,IRL,affiliate,98,71,56,47,36
1/27/17,GRC,app store,93,78,51,44,32
1/27/17,EST,paid social,97,77,60,40,40
1/27/17,PRT,paid search,94,70,60,44,34
1/27/17,ITA,paid search,91,72,59,49,39
1/27/17,GRC,other organic,100,80,52,40,40
1/27/17,EST,organic search,97,77,52,48,32
1/28/17,PRT,friend referral,91,70,58,43,38
1/28/17,NOR,friend referral,99,78,58,50,31
1/28/17,POL,organic search,100,72,53,43,31
1/28/17,IRL,app store,95,73,59,43,36
1/28/17,ITA,other organic,99,72,50,43,32
1/28/17,IRL,affiliate,99,71,54,45,34
1/28/17,ESP,direct,98,75,51,47,39
1/28/17,ITA,brand influencer,93,74,56,42,36
1/28/17,ESP,direct,98,72,58,50,40
1/29/17,FRA,organic search,100,72,59,47,36
1/29/17,ITA,paid search,99,70,58,50,34
1/29/17,DEU,friend referral,93,80,51,42,31
1/29/17,SVK,organic search,100,76,56,42,39
1/29/17,DEU,friend referral,93,79,60,42,33
1/29/17,SVK,app store,92,79,58,46,31
1/29/17,ESP,direct,91,76,60,47,34
1/29/17,SVK,app store,96,76,55,44,35
1/29/17,FRA,organic search,91,73,57,48,39
1/29/17,GRC,friend referral,100,79,60,44,33
1/29/17,BEL,other organic,94,76,51,48,35
1/30/17,ITA,friend referral,91,78,59,48,37
1/30/17,PRT,organic search,98,76,53,45,38
1/30/17,IRL,direct,97,78,59,40,36
1/30/17,EST,direct,94,72,53,47,31
1/30/17,GRC,friend referral,97,78,56,48,40
1/30/17,IRL,paid social,94,71,58,47,39
1/30/17,PRT,paid social,99,73,51,46,30
1/30/17,IRL,friend referral,97,74,52,42,31
1/30/17,FRA,app store,93,75,52,44,38
1/30/17,SVK,friend referral,92,76,57,44,33
1/30/17,BEL,other organic,95,77,52,49,38
1/30/17,FRA,affiliate,91,70,59,40,33
1/30/17,IRL,paid social,100,78,54,41,40
2/1/17,ITA,app store,95,78,59,49,34
2/1/17,PRT,organic search,97,73,55,42,34
2/1/17,EST,paid social,99,73,52,48,37
2/1/17,ITA,organic search,90,74,55,46,32
2/1/17,BEL,paid search,98,71,50,49,35
2/1/17,ITA,other organic,93,74,58,44,33
2/1/17,FRA,direct,92,72,57,41,36
2/1/17,BEL,paid search,94,76,58,41,30
2/2/17,FRA,paid search,95,75,51,43,37
2/2/17,FRA,app store,97,72,60,50,33
2/2/17,ITA,direct,95,70,60,46,33
2/2/17,NOR,organic search,90,72,50,50,31
2/2/17,EST,partnership,98,78,53,41,35
2/2/17,EST,paid social,91,72,57,43,39
2/2/17,ESP,partnership,96,77,53,41,37
2/2/17,ITA,friend referral,91,75,59,41,30
2/2/17,DEU,paid search,93,73,56,42,35
2/2/17,EST,direct,96,71,55,47,32
2/2/17,FRA,paid social,97,73,51,50,37
2/2/17,ITA,paid search,90,79,55,46,32
2/3/17,NOR,direct,97,70,54,48,31
2/3/17,GRC,affiliate,93,75,58,48,32
2/3/17,ESP,organic search,96,77,55,49,39
2/3/17,ITA,app store,91,75,55,41,37
2/3/17,EST,paid search,100,79,60,48,37
2/3/17,BEL,affiliate,95,73,54,40,40
2/3/17,EST,direct,92,71,55,40,35
2/3/17,ESP,affiliate,98,80,55,47,33
2/3/17,DEU,organic search,94,80,59,46,34
2/3/17,DEU,paid social,98,78,52,50,31
2/3/17,FRA,friend referral,94,74,52,41,37
2/3/17,ITA,paid search,95,76,52,41,33
2/4/17,DEU,organic search,98,76,56,44,36
2/4/17,IRL,friend referral,91,71,50,47,35
2/4/17,GRC,other organic,93,74,51,46,35
2/4/17,ITA,display,90,77,60,50,40
2/4/17,GRC,paid social,97,79,55,49,38
2/4/17,ITA,organic search,96,72,53,44,39
2/4/17,ITA,direct,91,72,51,42,40
2/4/17,PRT,organic search,97,76,53,42,38
2/4/17,ITA,paid search,97,74,52,50,31
2/5/17,IRL,direct,97,80,50,41,35
2/5/17,GRC,partnership,98,70,57,45,38
2/5/17,EST,direct,91,78,59,46,33
2/5/17,ITA,app store,97,73,52,44,40
2/5/17,NOR,partnership,93,73,50,45,36
2/5/17,EST,direct,100,70,53,45,36
2/5/17,SVK,paid social,97,79,55,50,33
2/5/17,ESP,app store,90,77,55,41,33
2/5/17,SVK,affiliate,97,77,59,47,36
2/5/17,IRL,paid search,91,70,56,41,39
2/5/17,DEU,paid search,93,73,50,50,34
2/5/17,GRC,other organic,92,76,50,48,39
2/5/17,IRL,direct,96,76,50,42,34
2/5/17,IRL,paid search,93,75,54,44,37
2/5/17,DEU,direct,97,75,53,42,35
2/5/17,ESP,app store,97,74,54,50,33
2/5/17,ESP,organic search,98,77,57,47,34
2/6/17,IRL,display,98,78,51,40,32
2/6/17,ESP,affiliate,91,76,59,49,36
2/6/17,NOR,paid social,97,70,51,41,34
2/6/17,FRA,app store,91,76,55,45,30
2/6/17,ESP,app store,100,75,55,49,39
2/6/17,BEL,paid search,92,72,59,47,32
2/6/17,DEU,affiliate,95,74,59,45,30
2/6/17,ITA,paid social,98,71,56,43,37
2/6/17,ESP,friend referral,96,80,51,45,35
2/6/17,EST,other organic,95,75,60,49,30
2/6/17,ITA,paid search,98,79,51,49,36
2/6/17,ESP,app store,98,71,55,45,38
2/6/17,GRC,friend referral,95,74,55,47,35
2/6/17,FRA,friend referral,92,70,55,41,39
2/7/17,ITA,paid search,92,73,53,43,37
2/7/17,POL,app store,100,77,54,46,33
2/7/17,POL,partnership,100,71,57,41,39
2/7/17,POL,partnership,94,79,60,49,36
2/7/17,SVK,direct,90,79,59,47,30
2/7/17,BEL,app store,97,76,50,41,40
2/7/17,BEL,app store,100,73,58,42,37
2/7/17,ITA,affiliate,100,70,55,45,31
2/7/17,SVK,direct,99,76,50,42,38
2/7/17,IRL,other organic,91,77,53,44,33
2/7/17,SVK,paid search,99,70,51,49,30
2/7/17,ITA,affiliate,92,76,59,49,40
2/8/17,ITA,display,92,73,59,46,33
2/8/17,SVK,direct,93,77,54,41,36
2/8/17,ITA,paid search,93,72,53,44,31
2/8/17,ITA,partnership,93,74,59,48,36
2/8/17,FRA,affiliate,92,72,52,49,36
2/8/17,PRT,direct,99,75,54,50,37
2/8/17,ITA,paid search,91,75,58,47,30
2/8/17,ESP,app store,90,75,55,49,34
2/8/17,DEU,organic search,96,77,60,50,31
2/8/17,IRL,other organic,99,73,58,49,31
2/8/17,FRA,affiliate,98,72,51,50,31
2/8/17,SVK,affiliate,95,76,50,43,37
2/8/17,EST,friend referral,91,80,50,49,31
2/8/17,FRA,direct,98,73,53,47,30
2/8/17,ITA,direct,91,74,58,46,31
2/9/17,IRL,paid search,98,79,57,48,35
2/9/17,DEU,friend referral,93,74,58,47,35
2/9/17,ITA,friend referral,90,70,52,43,35
2/9/17,FRA,organic search,94,76,51,41,30
2/9/17,PRT,friend referral,92,74,53,44,36
2/9/17,ESP,other organic,100,72,56,50,35
2/9/17,BEL,paid search,96,79,55,50,32
2/9/17,BEL,direct,91,75,54,43,32
2/9/17,SVK,other organic,95,80,55,47,30
2/9/17,FRA,friend referral,98,77,59,42,30
2/9/17,BEL,direct,95,71,59,46,40
2/9/17,IRL,paid search,95,71,60,47,33
2/10/17,IRL,paid search,99,76,60,43,33
2/10/17,EST,display,97,76,54,43,35
2/10/17,BEL,direct,95,80,52,46,30
2/10/17,DEU,friend referral,90,73,60,41,32
2/10/17,GRC,other organic,95,79,58,40,39
2/10/17,SVK,organic search,98,73,54,48,31
2/11/17,ESP,friend referral,100,76,57,43,31
2/11/17,ITA,affiliate,97,75,60,49,33
2/11/17,ITA,app store,95,73,52,42,36
2/11/17,GRC,other organic,90,79,50,45,33
2/11/17,EST,direct,93,78,52,48,33
2/11/17,GRC,other organic,95,80,52,47,37
2/11/17,EST,friend referral,93,78,50,46,40
2/11/17,GRC,friend referral,93,78,55,40,35
2/11/17,ITA,paid search,90,75,50,42,35
2/12/17,DEU,paid search,93,71,56,49,34
2/12/17,FRA,organic search,96,70,51,41,35
2/12/17,GRC,direct,97,70,55,44,35
2/12/17,BEL,other organic,96,79,59,44,35
2/12/17,GRC,direct,91,71,59,42,35
2/12/17,PRT,organic search,93,74,55,48,35
2/12/17,ITA,affiliate,97,72,53,48,34
2/12/17,DEU,display,94,80,54,48,31
2/12/17,SVK,organic search,98,76,57,47,30
2/12/17,ESP,direct,92,73,57,42,36
2/12/17,ITA,display,93,78,57,47,30
2/12/17,FRA,other organic,96,72,55,50,37
2/12/17,EST,app store,91,77,54,46,40
2/12/17,DEU,paid social,97,73,60,50,39
2/12/17,EST,app store,94,78,52,40,32
2/12/17,GRC,other organic,100,73,56,44,39
2/12/17,PRT,direct,100,70,57,48,38
2/13/17,EST,partnership,96,72,56,46,40
2/13/17,SVK,other organic,97,78,50,48,31
2/13/17,PRT,paid search,97,72,60,47,32
2/13/17,GRC,friend referral,97,74,50,50,40
2/13/17,BEL,affiliate,91,72,55,42,30
2/13/17,PRT,paid search,94,75,59,46,40
2/13/17,PRT,organic search,93,72,51,42,33
2/14/17,PRT,app store,98,73,59,50,35
2/14/17,IRL,other organic,93,72,60,47,33
2/14/17,NOR,friend referral,96,77,53,40,33
2/14/17,NOR,app store,91,72,56,40,30
2/14/17,ITA,app store,97,73,57,49,33
2/14/17,DEU,brand influencer,97,73,56,41,39
2/14/17,FRA,direct,91,72,55,45,39
2/14/17,BEL,affiliate,96,75,50,46,38
2/14/17,FRA,organic search,95,76,56,45,36
2/14/17,ITA,paid social,92,75,58,48,40
2/14/17,DEU,paid search,95,75,59,46,39
2/14/17,GRC,direct,98,80,56,47,34
2/15/17,ITA,direct,90,72,56,42,34
2/15/17,PRT,friend referral,99,80,55,41,36
2/15/17,SVK,app store,93,70,54,45,34
2/15/17,GRC,other organic,93,74,54,40,30
2/15/17,PRT,affiliate,93,73,53,47,31
2/15/17,IRL,other organic,93,79,59,41,35
2/15/17,FRA,organic search,95,74,50,48,40
2/15/17,BEL,paid social,100,73,56,50,33
2/15/17,SVK,direct,92,78,50,46,39
2/16/17,POL,other organic,93,77,53,40,37
2/16/17,ITA,app store,100,76,60,49,34
2/16/17,ITA,direct,96,74,53,42,36
2/16/17,SVK,other organic,98,70,54,41,32
2/16/17,ESP,app store,100,80,57,47,36
2/16/17,PRT,paid social,94,71,60,41,30
2/16/17,FRA,paid social,94,76,59,40,30
2/16/17,DEU,app store,99,76,56,42,37
2/16/17,IRL,app store,96,71,56,45,31
2/16/17,IRL,direct,95,73,60,45,40
2/16/17,ESP,paid search,92,75,51,46,40
2/17/17,POL,app store,99,74,56,47,33
2/17/17,NOR,other organic,96,79,59,42,39
2/17/17,ESP,brand influencer,90,80,60,40,38
2/17/17,ITA,organic search,96,80,53,45,40
2/17/17,ESP,direct,94,74,50,48,31
