userid,country,day_exposed_to_ad,treatment,signed_up_metal,signed_up_standard
01bdc64b-8f42-454f-a4ad-54d10096fc09,Spain,2017-03-16,Metal,0,0
ec3c1d3c-1128-4bf0-aab2-70e180414952,Italy,2017-03-28,Standard,0,0
d37a0fd1-7b83-4c29-b007-f05564f69099,Spain,2017-03-08,Standard,0,0
b773022c-b03e-47bb-921f-bb4cb2dd65f7,Italy,2017-03-27,Metal,0,0
f4371a4a-9223-4b18-9aa9-d8fe90bd9691,Spain,2017-03-29,Metal,0,0
70335877-fca8-4ee9-a0c6-f2f824b1f2c3,Italy,2017-03-20,Metal,0,0
32ece675-2969-4db6-b24e-8c76ba37e13a,Italy,2017-03-12,Standard,0,0
3efebac7-c040-456a-b2d8-e37cbd64b4e7,Italy,2017-03-10,Metal,0,0
17c89ee2-10c4-4b7a-8dd4-d9cbde2bccf5,Italy,2017-03-25,Standard,0,0
b7a73ef9-ba02-4b86-b72b-8bbcac9bd5c9,Spain,2017-03-30,Metal,0,0
efe56dea-32f5-488a-b909-2d8bcd2b8b85,Italy,2017-03-11,Standard,0,0
a40572d6-25bc-4a8f-ab30-e7fc04bc15be,Italy,2017-03-11,Standard,0,0
d5c4f4ce-f0a2-4d6d-bcaa-45ced3625555,Italy,2017-03-03,Standard,0,1
c500c60f-dfd8-4408-b53a-5d2de17133b7,Italy,2017-03-08,Metal,0,0
19d6596f-ffab-4943-9a7d-14a32797f39b,Spain,2017-03-24,Standard,0,0
d230bbc4-9bc8-4f1f-87dc-c4ce109fb9ee,Italy,2017-03-02,Metal,0,0
c38416cd-be65-460c-8ed2-137e127fab65,Spain,2017-03-17,Standard,0,0
0ccc5fe6-d16e-4332-9ae5-20f829f949b8,Italy,2017-03-30,Metal,0,0
19af6018-13ab-4df7-a4d1-dc008e399cf7,Spain,2017-03-24,Standard,0,0
8ec04381-78e7-4c0f-8dd8-7e7e766c1043,Italy,2017-03-18,Metal,0,0
842607cf-1d33-487b-9990-a59322be6dbc,Italy,2017-03-01,Metal,0,0
ee05064b-530f-4536-83e9-b7e0d14cd497,Spain,2017-03-23,Standard,1,0
6bb2cd55-34c0-46dd-9c53-e1327e1a8300,Italy,2017-03-08,Standard,0,0
fc65053d-fa01-48d4-99bc-7bb1c1e8966f,Italy,2017-03-26,Metal,0,0
e4668c52-28af-47f0-a8e6-36ef82d61cd2,Italy,2017-03-10,Metal,0,0
59827a51-5d46-4c48-8232-fc55ba37afd6,Spain,2017-03-25,Standard,0,0
8db0df06-6862-4abe-bd9f-5bb502568b5f,Spain,2017-03-25,Standard,0,0
f87cecf9-f5f3-4e2f-b7e0-49c9509f2390,Italy,2017-03-06,Standard,0,0
4a08f432-e5a3-4745-a5b9-c941d8bd3291,Italy,2017-03-20,Standard,0,0
08366bf6-cde0-4fbb-a273-442b29717b8b,Spain,2017-03-19,Metal,0,0
396543e0-807a-4d4c-9ca7-ef71d908fc04,Spain,2017-03-12,Standard,0,0
0730afc4-2093-4fec-8a37-b11be141eaf6,Spain,2017-03-14,Metal,0,1
7dc6995b-02ff-4977-8d7f-07917afe74da,Spain,2017-03-07,Standard,0,0
5a345376-4641-4795-8a38-56793ca71a71,Spain,2017-03-05,Standard,0,0
2ba7bc32-9a57-44df-aa21-55e4d5486882,Italy,2017-03-08,Standard,0,0
59dc48f7-c2f7-4b36-92a5-3ef63ba1f7d6,Spain,2017-03-06,Metal,0,0
0c8b27bd-90f1-4742-84bb-9a995797b628,Italy,2017-03-01,Standard,0,0
63edceac-9521-4be5-83de-53f5149eadb9,Italy,2017-03-25,Standard,0,0
c3a0b1d5-96dc-4532-be34-c92c99c0ab6d,Italy,2017-03-09,Standard,0,0
56458d24-b9d1-4db8-920a-9b1ec466f9d5,Italy,2017-03-14,Standard,0,0
1d3c2ea8-744f-4e90-9bb5-7839f0d68361,Spain,2017-03-08,Standard,0,1
f6f46697-bc4a-42df-9307-2b94bfca2576,Spain,2017-03-06,Metal,0,0
c4cb6bcb-f57d-41c0-b4e1-1ea6a6f9be98,Italy,2017-03-25,Metal,0,0
23229f7a-12f0-40a1-8471-f3df6373c8c9,Spain,2017-03-16,Standard,0,0
1757ed41-556d-4bc5-995c-4be87bee5393,Spain,2017-03-26,Standard,0,0
f694507b-eddb-43ca-844f-3901050549fd,Spain,2017-03-06,Metal,0,0
94fcfa18-64a9-4086-958c-1e65ffdf164d,Italy,2017-03-17,Standard,0,0
fb8a4f54-8a47-4bed-8482-ffa58f86ddd5,Spain,2017-03-14,Metal,0,0
21e20d45-4e5c-49d1-8e46-d560424b94b9,Italy,2017-03-13,Metal,0,0
0611d3cc-029b-4c98-94f5-ecb1e7bc7b22,Italy,2017-03-14,Metal,1,0
84b4dccc-0623-4d3f-a9df-db3e65802f69,Italy,2017-03-26,Metal,0,0
04639db7-6220-4871-b515-5f8fdabca15d,Spain,2017-03-13,Standard,0,0
a09e8eb9-fe4b-4f1d-a3c9-24794165d7c2,Italy,2017-03-19,Metal,0,1
e6dc13c4-5370-4a08-802d-f9fa72063120,Italy,2017-03-27,Standard,1,0
9ec92a37-524d-4d5c-909f-0357a4175457,Italy,2017-03-19,Standard,0,0
32af8968-23f3-4de0-9af1-a0f0b87946ef,Italy,2017-03-13,Metal,0,0
56d145e8-5a34-4944-ab7e-d83da3e72f38,Italy,2017-03-07,Metal,0,1
e880f0d6-b466-4d06-bbfa-15a8593e0ea1,Italy,2017-03-06,Metal,0,0
b7e812b1-3370-4a07-958d-0b97a23c4485,Italy,2017-03-07,Standard,0,0
69a9dbb5-9ef8-4337-a789-2b97d8243cdb,Italy,2017-03-09,Standard,0,1
7a9aac7a-4b5f-49f3-a65a-4c7b3375bf43,Spain,2017-03-07,Metal,0,0
0364b6d3-d185-4bc5-85ea-66d9e2e277bf,Italy,2017-03-16,Standard,0,0
f2aff84e-066b-4669-b76c-d18a10e8e535,Spain,2017-03-22,Metal,0,1
ea0edc9e-a43a-417f-bfdc-3134eced4163,Spain,2017-03-16,Standard,0,0
6d82497f-9e96-4a2e-84d2-8df19b64b648,Italy,2017-03-23,Standard,1,0
c58727b3-ab0c-4135-812b-07b4ed58fb22,Italy,2017-03-06,Metal,1,0
cc6f05b7-c763-48da-9216-da3d63926d7d,Spain,2017-03-28,Standard,0,0
42c1e0a7-23ae-4a41-aab7-bd88c9820160,Italy,2017-03-17,Standard,0,0
4d857a01-4ddd-4171-b405-c0e0cdc0a61b,Italy,2017-03-19,Standard,0,0
fcb0a727-7ca5-4c20-bf44-b170d40a1f46,Italy,2017-03-23,Standard,0,0
3b74eb55-cd51-4c84-a0c8-0c710fb47eac,Spain,2017-03-20,Metal,0,0
8b9d98bc-dfca-41d6-b462-8a69023a7bec,Spain,2017-03-28,Standard,0,0
54f39999-c242-4b28-ad8f-1783adcdb659,Italy,2017-03-05,Standard,0,0
14f93d1d-4783-4d30-bd15-68918fbe8173,Spain,2017-03-11,Standard,0,0
24241d85-dbfc-4592-b0a1-a7ea71814263,Italy,2017-03-10,Standard,0,0
d12b1fd4-c6d0-4e23-b97e-4b6d3bbcc46e,Spain,2017-03-09,Standard,1,0
18c6e475-d12a-4ae6-b949-c4401c743b52,Italy,2017-03-22,Standard,0,0
a7e5577f-28e3-410e-a8b8-f9c81b4ec10c,Spain,2017-03-13,Metal,0,1
10242f76-4e45-463a-8c3d-3aef61f59b5e,Italy,2017-03-12,Standard,0,0
89c4aacb-f8b0-495c-a505-c25166ed1486,Italy,2017-03-19,Metal,0,1
c4fc46f1-26a3-4d3b-ae74-c7b41f40ec34,Spain,2017-03-23,Standard,0,0
87baec60-a3a3-4c5d-a1e6-9b244fb43cd9,Italy,2017-03-16,Standard,0,0
61e056c9-1d4c-4cdf-aac7-5d69035cbb77,Italy,2017-03-30,Standard,0,0
01759ed8-e232-4970-92b8-5d81567ac837,Spain,2017-03-16,Metal,0,0
2c624a52-00dc-451f-a862-bf52b36fb105,Spain,2017-03-18,Metal,0,0
b06da7c3-564f-421b-9794-0fdd85fe1f38,Spain,2017-03-02,Standard,0,0
9a0e2082-2336-477e-97af-e9919542e777,Italy,2017-03-23,Metal,0,0
d8333227-511a-4c90-a0d9-3c068760d280,Italy,2017-03-18,Standard,1,0
5e89f987-73f3-4f26-8da5-3caf18786f1a,Italy,2017-03-26,Metal,0,0
49f14284-68bd-4d32-9c46-8b4a0b80ae1a,Spain,2017-03-13,Metal,0,0
ba347396-4b7a-403f-9e27-827343381c36,Spain,2017-03-07,Metal,0,0
9d0a841c-de7d-4300-a87e-517c4ebd9ef7,Italy,2017-03-18,Standard,0,0
bafb546e-c783-4f66-94de-baafb26526bf,Italy,2017-03-10,Standard,1,0
00718ab0-1c64-41e0-869d-83574d0564bb,Italy,2017-03-08,Metal,0,0
4a04ffc8-b1ca-4304-a7c6-692e8dec3ec9,Spain,2017-03-04,Metal,0,0
19e6abd3-45d0-4dc2-b555-5066774ea70b,Spain,2017-03-01,Standard,0,0
2abdb0fe-bda7-4497-adad-7fdfc9fb6826,Italy,2017-03-07,Metal,0,0
35d4fff6-3d28-486f-bd21-5e18fe6e7321,Italy,2017-03-10,Standard,0,0
2139f8b1-3ca0-4e08-a0c0-40edd52d2a2f,Spain,2017-03-17,Metal,0,0
87763fa6-7353-47d3-b56d-8e0427e759f4,Spain,2017-03-17,Metal,0,0
2b6d1d05-eed6-4310-95f0-d49c2b52d43e,Spain,2017-03-25,Metal,0,0
64426534-989f-49ad-af25-139c4210a82f,Italy,2017-03-12,Metal,1,0
9485081f-70fc-46b4-bca2-62ac029cdb9f,Spain,2017-03-26,Standard,0,1
46de8f98-ee29-4357-a020-66dfbb798320,Italy,2017-03-22,Metal,0,0
08953e2d-246e-4f22-a772-8970ddd76c8e,Italy,2017-03-14,Standard,0,0
9cd53154-f815-42ec-8ecb-87a0e20ea307,Italy,2017-03-01,Standard,1,0
830798cd-3cf8-4b7c-989b-e968b77ff0fb,Spain,2017-03-16,Metal,0,0
60ee6405-0403-4833-b0b5-74b861021b88,Italy,2017-03-22,Metal,0,0
b7285f2c-d019-43a2-8e3c-e575664b23b6,Italy,2017-03-16,Metal,0,1
f4cc8f75-04f2-4f7b-b86c-191d90b2038e,Italy,2017-03-27,Standard,0,1
e39552e0-ebdf-4ade-9ab6-f480b9350713,Italy,2017-03-27,Metal,0,0
b25a4408-09e9-4e32-8300-071fe3473054,Italy,2017-03-04,Metal,0,0
d18916cc-656a-43a9-ba3d-9e337edc43a8,Spain,2017-03-17,Standard,0,0
1128e0ca-3da9-4403-8b53-385b3ecb9de3,Spain,2017-03-24,Metal,0,0
bd6f9493-18b0-4edd-bdcc-b33d2f73b408,Italy,2017-03-30,Standard,0,0
f59105ed-efd2-440d-abdd-dfd468dadfaf,Spain,2017-03-12,Standard,0,1
6480863a-df75-477e-9a76-b03509c4c898,Italy,2017-03-13,Standard,0,0
dfe9bbe1-f492-44ad-8421-962ad602fceb,Spain,2017-03-20,Standard,0,0
30730203-4064-498d-aeb4-e9b50e459e81,Spain,2017-03-17,Metal,0,0
f6359b2b-1a54-49b3-9077-ea1f51698088,Italy,2017-03-09,Metal,0,0
5c1f2df3-3ebe-4939-b258-2e63b42eeb53,Spain,2017-03-12,Metal,0,0
33badb96-2d26-4bdb-b0c1-6e32db361d7a,Spain,2017-03-18,Metal,0,1
b5099869-8616-4ae2-9af5-1e1128e0325f,Italy,2017-03-23,Metal,0,0
903f0854-7172-408d-ba6a-5e8220804268,Italy,2017-03-17,Standard,0,0
cb5ac0a1-b402-421b-b2da-281b25c17cc7,Italy,2017-03-04,Metal,0,1
c76da847-e474-46b3-90cf-641b69a38c16,Spain,2017-03-28,Standard,0,1
80c5b693-9950-41bb-9875-0ec793b8a00c,Spain,2017-03-27,Standard,0,0
3ba1a0ac-a296-4e55-a134-4beed9174601,Spain,2017-03-27,Standard,0,0
30d506e2-f2dd-42bb-8a90-99e7ed2c827d,Italy,2017-03-05,Metal,0,0
f11a6bca-736f-436e-9924-c132b7ee402f,Spain,2017-03-05,Metal,0,0
0e1a10b1-b477-4499-9896-3c3f5ae2b292,Spain,2017-03-05,Standard,0,0
c72daa6b-4296-402a-ae05-8ecd73e6363f,Spain,2017-03-30,Standard,0,0
0ca1a73f-c08a-4e96-b209-811a388fc521,Italy,2017-03-02,Metal,0,0
889365be-1db0-4aef-900b-46930bdb56aa,Spain,2017-03-07,Standard,0,0
6e01a15d-a0db-4436-a2af-ef4c4ac46b2d,Spain,2017-03-03,Metal,0,0
b9a43ae6-738f-409a-8196-98d7655281de,Italy,2017-03-04,Standard,0,0
8744e6a9-973e-4466-9eb5-b8730b6cb6e0,Spain,2017-03-13,Standard,0,1
d86f6c1c-6e23-4c9b-9eda-7d8f6316786f,Italy,2017-03-17,Standard,0,0
fe6288d9-4dcf-4260-959f-8ae9883f8852,Spain,2017-03-20,Standard,0,0
9ee47426-a887-4b47-82eb-d8d0c7216f15,Italy,2017-03-24,Metal,0,0
c65bfdd9-a8cf-45c9-aef1-b5a5e0ac9697,Italy,2017-03-07,Standard,0,0
a891af0f-351b-4f1c-8e33-a01f6f118789,Italy,2017-03-04,Metal,0,0
3c7a0ab8-9d14-4586-8af9-8073a0a00669,Italy,2017-03-14,Standard,0,1
1e63668d-c0de-4219-8c9f-f987299bd881,Spain,2017-03-19,Metal,0,0
8da77667-9635-45d7-b80c-cf4e13373412,Italy,2017-03-20,Standard,0,0
4755da4e-e89f-45ee-bfe2-298077d32c8b,Italy,2017-03-29,Standard,0,0
688253bb-c0b1-44f3-96b3-118f1bf30870,Spain,2017-03-26,Metal,0,0
11ab2b83-55de-4c86-9fef-b3781764fba5,Spain,2017-03-13,Standard,0,0
3c2cfa05-343c-4601-ab01-442a275fe658,Spain,2017-03-25,Standard,0,0
74e97875-8230-43a3-bbad-fb5ecd2fce94,Spain,2017-03-02,Standard,0,0
5772a7b5-56d0-43ed-a264-f5930dbc270f,Spain,2017-03-02,Standard,0,0
aa8e31d2-a2c4-4b2e-8bd7-801de5cc3a27,Spain,2017-03-18,Metal,0,0
7161fa19-58f7-4443-90ca-f1be2a0a3d89,Italy,2017-03-24,Standard,0,0
483a3177-3e9f-47a4-876a-f3c32f8c505b,Spain,2017-03-19,Standard,0,0
e38258b1-2082-4be9-b63c-695347af499d,Italy,2017-03-01,Metal,1,0
d07d3aa7-c473-4d7f-8080-97e98dafff7b,Italy,2017-03-31,Standard,1,0
f989d661-8983-4b58-b3d7-ca2ebca9098a,Italy,2017-03-20,Metal,0,0
5c1653d4-2d40-4c14-b02f-7e03b90dca3c,Italy,2017-03-01,Standard,0,0
207df6b3-a7cb-463a-b06c-ff7bb4ce656b,Spain,2017-03-18,Metal,0,0
5844b418-79eb-418c-832b-66d9fffcacf4,Spain,2017-03-10,Standard,0,0
87087184-91e1-44ca-9eb0-626f9ad91416,Italy,2017-03-28,Metal,0,0
da31f147-61ab-4587-823f-72b901523dbc,Italy,2017-03-20,Standard,0,0
9525eae5-043e-496b-9f4e-0f95c7320634,Italy,2017-03-12,Metal,0,0
84cfa498-e017-4cd8-a184-fa98f9234ac4,Spain,2017-03-02,Metal,0,0
d237e430-af5e-4001-bc83-0b378a434fdc,Italy,2017-03-28,Metal,0,0
8b4c49bc-6766-46f9-b94e-2152383de6aa,Italy,2017-03-23,Metal,0,0
d7737c33-e830-4a60-9780-835704d194c4,Spain,2017-03-21,Standard,0,0
28e35f26-ee03-41f6-9f1b-9299048d4964,Spain,2017-03-23,Standard,0,1
abd1333e-5758-41db-b9cd-12c8d660264c,Spain,2017-03-11,Metal,0,0
d65b08f1-b95a-4783-9a2b-044422e37c93,Spain,2017-03-06,Metal,0,0
5b834e5b-6e27-4afa-abb2-9b6b0ab6d1aa,Italy,2017-03-31,Standard,0,1
9c993722-9877-41aa-93b6-824dd6a408d6,Spain,2017-03-01,Metal,0,0
79a7b0b4-8445-4357-a099-a74756f8761a,Italy,2017-03-04,Standard,0,0
cc54f6b6-de9b-4b34-a778-413b51f442c3,Spain,2017-03-16,Metal,0,0
c5024c44-3640-49bb-8ae1-4bfd17376cde,Spain,2017-03-06,Metal,0,0
936e9d11-841f-446d-9fc6-be2be36d1bda,Spain,2017-03-02,Metal,0,0
aaf22dc1-ac00-49fc-bfd3-3e859e57d6ad,Spain,2017-03-15,Metal,0,0
1b3ddefe-7937-4d96-81b2-f2d1f603d359,Italy,2017-03-08,Standard,0,0
7aa5db9d-44a0-4adf-810d-98ae3489505e,Italy,2017-03-14,Standard,1,0
fa54a94c-4c42-44c3-85e9-766d4ff15543,Italy,2017-03-14,Metal,0,0
18d8a1bc-48c4-4dcf-886b-cf2c900590b5,Italy,2017-03-21,Metal,0,0
4b01427b-e5c0-489a-a3ee-26bb93a993b1,Italy,2017-03-02,Metal,0,1
438a21fe-5b83-4d3f-b534-2bea551275cc,Italy,2017-03-28,Metal,0,1
a66521c3-1dae-4b28-bf6b-bb7d529887bf,Spain,2017-03-04,Standard,1,0
343d149a-8b45-423b-a18b-46936abe8b87,Italy,2017-03-21,Standard,0,0
2010d10a-67b3-458e-8bc5-c7e041a12476,Italy,2017-03-01,Standard,0,0
eefd0b2f-c261-4942-bfd2-b1a9868e296d,Italy,2017-03-29,Metal,0,0
0aab20c6-c0a0-4e9c-87c3-1e0459b4fa7b,Italy,2017-03-06,Metal,0,1
90b266e6-d30d-4aa9-838c-88d56ec00dfd,Spain,2017-03-24,Standard,0,0
6430d67f-60b3-4068-aed0-d129aafaf26c,Italy,2017-03-08,Metal,0,0
60a0bb2e-ef2c-4e37-9b93-9c4c17eb7a22,Italy,2017-03-27,Standard,0,0
c1ef40a0-170b-43e5-bc53-04477dd4cf9b,Italy,2017-03-26,Standard,1,0
c77ca3a1-3ef3-496c-9528-0a6408bef361,Italy,2017-03-01,Standard,0,0
0aa428c8-4e88-441c-935c-84ba1c12caff,Spain,2017-03-16,Metal,0,0
19a795d5-df71-4dc1-b79c-8ac8cbd07e89,Spain,2017-03-02,Metal,0,0
341c7f16-4173-43fe-ab30-a16d44aa8c9c,Spain,2017-03-09,Standard,0,0
aa21da87-4b51-4032-812f-ccdb3b5be8be,Spain,2017-03-04,Standard,0,1
cb7e5418-6480-4668-bb33-642436c81db3,Italy,2017-03-01,Metal,0,0
f71ded7e-52b7-458d-a424-4f78e4f38595,Italy,2017-03-14,Standard,0,0
0e502850-9653-4c00-9909-50359e0e7552,Italy,2017-03-04,Metal,0,0
a178fb51-1585-4537-8df7-6c16a8144f4c,Italy,2017-03-05,Standard,0,0
77ebfab9-b01f-47aa-b076-b9a8ee0bb6b2,Spain,2017-03-21,Standard,0,0
9fccbb6c-183c-4a71-a669-219d42241fb2,Italy,2017-03-16,Standard,0,0
33171b1a-5367-4232-a131-0926472ae1c3,Spain,2017-03-16,Metal,0,0
08e80981-a3c7-455d-8874-f28d961ee7b7,Italy,2017-03-03,Standard,0,0
2df37fce-8add-4510-8fe6-63a749d22786,Italy,2017-03-29,Standard,0,0
59dc304c-dc3c-44cd-95d8-7b299153c194,Spain,2017-03-07,Metal,0,0
13721209-efea-45b2-9cba-5c5874ecc1ff,Spain,2017-03-16,Metal,0,0
8d49f080-ad05-4b04-b4c5-1acdf5da661d,Spain,2017-03-30,Standard,0,1
0de869e5-dcf2-4858-b528-2649376cbf22,Spain,2017-03-13,Metal,0,0
5f1a55f7-0195-4b92-8669-6299b330368c,Spain,2017-03-25,Metal,0,1
3c39abf9-3fea-49d3-b988-08cad713f522,Italy,2017-03-13,Standard,0,0
0b8f322c-84f6-4733-8c3e-cf4b65737f0b,Italy,2017-03-15,Metal,0,0
1b95bdb7-f96e-427b-a3cf-35313dbd1814,Spain,2017-03-27,Metal,0,0
e7230482-d099-4dda-809f-34c272673a73,Italy,2017-03-01,Metal,0,0
742b88a8-4267-4893-ac49-8d4fb8e49e21,Spain,2017-03-23,Metal,0,0
d680b0a7-303f-4f2c-ad1e-9ca812530b4f,Spain,2017-03-09,Standard,0,0
52d3d1a2-e532-4257-9ece-f910c91c016f,Spain,2017-03-05,Metal,0,0
02555c58-5acb-426b-aa38-915bb4c701fb,Spain,2017-03-30,Metal,0,0
18e9427e-46a0-4395-926a-9138f8ed7594,Spain,2017-03-14,Metal,0,0
774ffe88-e201-4a08-8fce-eae769d556ea,Spain,2017-03-26,Metal,0,0
2235dcab-20b7-46ab-8260-b229f5c6e27d,Italy,2017-03-06,Metal,0,0
bc8dd488-4424-4d9d-a8d5-a62d3e4710b3,Italy,2017-03-17,Standard,0,0
14f53992-2af6-472e-bed3-c25d1c5f455c,Spain,2017-03-17,Standard,1,0
24e3e6ce-f558-4897-86e1-ff44d944bce2,Italy,2017-03-22,Metal,0,0
0b4cc4a1-a1a4-4bf4-a165-ae481995a635,Spain,2017-03-10,Standard,0,0
b8200df5-2c4d-45c5-a319-893057c84dd5,Spain,2017-03-10,Standard,0,0
73654ee7-f345-42f2-90eb-7c89d9b775f7,Italy,2017-03-05,Metal,0,0
c255d0ea-f6bc-44f2-93e6-f8f583f8da0b,Spain,2017-03-21,Metal,0,0
fd7563ac-ca97-4471-b44a-36338f43b939,Italy,2017-03-23,Standard,0,0
3b002edb-7094-4557-93f8-7c44ae0e85b6,Spain,2017-03-17,Standard,0,0
e045715e-8f47-447b-a359-b02eb3bffa03,Spain,2017-03-27,Standard,0,0
ca1a2b4b-d877-448a-9890-12a9d41ae475,Italy,2017-03-03,Standard,0,0
7326addd-1f63-4a2b-9f41-f0127e4dfae9,Spain,2017-03-10,Metal,0,0
aa1071e9-4307-4e7b-b41f-bfdd56767637,Spain,2017-03-24,Standard,0,0
55ead741-f16a-40a9-9946-e400b7e5ee04,Spain,2017-03-14,Metal,0,0
ba2e783e-12d6-4c66-974a-0de8864b67df,Spain,2017-03-27,Standard,0,0
8fcbc6f9-b4c3-45d0-a014-633a8060f854,Spain,2017-03-02,Standard,0,1
4ca8391d-8471-4f94-9ac6-c540389f1142,Spain,2017-03-27,Standard,0,0
fd8c0091-1ec6-40c3-b894-c984c08c9ff6,Spain,2017-03-15,Standard,0,0
9d7d96ac-2047-47c0-b3b9-86600a11a064,Italy,2017-03-18,Metal,0,0
9e8b44c8-84c3-4486-b76d-e5c2591652bd,Italy,2017-03-08,Metal,0,0
cf7ac54c-a1ea-44b3-9729-e5fc159c2579,Italy,2017-03-20,Metal,0,0
c93cc781-bd3c-4d79-b6a2-b6adf927239e,Italy,2017-03-24,Metal,0,0
b338e288-2451-4fa3-b24c-a98cf338d528,Italy,2017-03-21,Standard,0,0
c15e443e-33f6-4356-a729-d7b27aa0ccf6,Italy,2017-03-14,Standard,0,0
0e493e22-1b44-4100-aecb-3c7dfc0d12df,Spain,2017-03-06,Metal,0,0
282198f1-4ea3-48e9-91e8-d50ed5ccf487,Spain,2017-03-03,Standard,1,0
8979c873-be84-4c3d-bbc0-bd3f2c61e8ca,Italy,2017-03-01,Standard,0,0
0e2f0087-4c0b-47d9-bc4f-942c68fb6aff,Spain,2017-03-22,Metal,0,0
f742ccd3-6279-4c41-90f3-b053b38ed5ed,Spain,2017-03-10,Standard,0,0
904822c4-0535-4dab-8d40-1b5b8c5368ea,Spain,2017-03-17,Metal,0,0
b500f608-4b9c-4319-8930-9c82df8de5e4,Italy,2017-03-26,Standard,0,0
1361d32c-bbf3-41d3-9aec-24f0cf996fbd,Spain,2017-03-14,Standard,0,0
7687ec4d-d200-43ef-bb46-f2c3c41a4c24,Spain,2017-03-13,Metal,1,0
a516ec5c-e7bb-4a7f-8e13-0feb3f397575,Spain,2017-03-31,Metal,0,0
c7c1f89c-b395-43d3-ac31-bed1558934e9,Italy,2017-03-02,Standard,0,0
224cb0d6-6e12-4611-9160-afda4e7fd3bf,Spain,2017-03-15,Metal,0,0
dbd8ba63-039e-483e-869f-b3a3c879b61e,Italy,2017-03-13,Standard,1,0
6b7d7b76-b144-4491-8299-b9b1ca6fcdb5,Spain,2017-03-10,Metal,0,0
